status	case	seconds	input_sha256	output	phase_ir	residual_vmi_ops	diagnostic	phase_regions	phase_loops	phase_vloads	phase_vstores	phase_vmi_instances	phase_local_boundaries	phase_hard_boundaries	source_tileop_kinds	source_tileop_instances	assessment
PASS	_jit_attention_csa_test_20260723_032646/ptoas/idx_qr_proj_matmul.pto	48	33d52a88ca5618ad3688d9893f251bdcb9676f352d86e91bc02eee0e838f692d	artifacts/533887b4ae09635e9c7ddb5db7d7bf29c12f8347/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/idx_qr_proj_matmul.pto.vpto.mlir	artifacts/533887b4ae09635e9c7ddb5db7d7bf29c12f8347/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/idx_qr_proj_matmul	0	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=34095, socket=/tmp/tilelib_daemon_34092.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=34095)	0	5	0	0	0	0	24	4	24	hard_boundary_only
PASS	_jit_attention_csa_test_20260723_032646/ptoas/kv_and_cache_write.pto	28	da472432090e3dd7a8f46bb1c5efd4142ff2caff0a6a53a6b96a171fb8c12d29	artifacts/533887b4ae09635e9c7ddb5db7d7bf29c12f8347/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/kv_and_cache_write.pto.vpto.mlir	artifacts/533887b4ae09635e9c7ddb5db7d7bf29c12f8347/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/kv_and_cache_write	0	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=34191, socket=/tmp/tilelib_daemon_34188.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=34191)	4	1	0	0	5	8	4	11	18	fusion_candidate_with_local_boundaries
PASS	_jit_attention_csa_test_20260723_032646/ptoas/kv_hadamard.pto	11	7f83d70fe9702d3755b5eb30337acdaef18c8e48bcbc6e606b1a30d597f4f7df	artifacts/533887b4ae09635e9c7ddb5db7d7bf29c12f8347/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/kv_hadamard.pto.vpto.mlir	artifacts/533887b4ae09635e9c7ddb5db7d7bf29c12f8347/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/kv_hadamard	0	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=34248, socket=/tmp/tilelib_daemon_34245.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=34248)	0	1	0	0	0	0	6	4	6	hard_boundary_only
PASS	_jit_attention_csa_test_20260723_032646/ptoas/kv_proj_matmul.pto	49	4073c3f6a440b35b639c26e1f9cd6bd8d68fe408acf4f9e44a3e2d059d9f23c6	artifacts/533887b4ae09635e9c7ddb5db7d7bf29c12f8347/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/kv_proj_matmul.pto.vpto.mlir	artifacts/533887b4ae09635e9c7ddb5db7d7bf29c12f8347/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/kv_proj_matmul	0	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=34283, socket=/tmp/tilelib_daemon_34282.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=34283)	0	2	0	0	0	0	23	4	23	hard_boundary_only
PASS	_jit_attention_csa_test_20260723_032646/ptoas/kv_proj_seed.pto	6	8ee6f2479031d2b9148ffef89e7a0cb8efa2a588dd7fc33899817f14053ecbaf	artifacts/533887b4ae09635e9c7ddb5db7d7bf29c12f8347/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/kv_proj_seed.pto.vpto.mlir	artifacts/533887b4ae09635e9c7ddb5db7d7bf29c12f8347/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/kv_proj_seed	0	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=34397, socket=/tmp/tilelib_daemon_34394.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=34397)	0	2	0	0	0	1	1	2	2	hard_boundary_only
PASS	_jit_attention_csa_test_20260723_032646/ptoas/kv_rms_norm_rope.pto	149	5e13a2d00eafabdb25adf976f97082f37b9073b36b078daaf525ba3259e7da30	artifacts/533887b4ae09635e9c7ddb5db7d7bf29c12f8347/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/kv_rms_norm_rope.pto.vpto.mlir	artifacts/533887b4ae09635e9c7ddb5db7d7bf29c12f8347/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/kv_rms_norm_rope	0	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=34407, socket=/tmp/tilelib_daemon_34404.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=34407)	31	5	0	0	32	18	20	17	70	fusion_candidate_with_local_boundaries
PASS	_jit_attention_csa_test_20260723_032646/ptoas/kv_score_proj.pto	95	f377e459fbc202a8260f3649cc6442b9a5bd2d726365a674b6839c09c0d9b0c7	artifacts/533887b4ae09635e9c7ddb5db7d7bf29c12f8347/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/kv_score_proj.pto.vpto.mlir	artifacts/533887b4ae09635e9c7ddb5db7d7bf29c12f8347/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/kv_score_proj	0	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=34652, socket=/tmp/tilelib_daemon_34651.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=34652)	0	1	0	0	0	0	44	4	44	hard_boundary_only
PASS	_jit_attention_csa_test_20260723_032646/ptoas/kv_score_proj_0.pto	51	c8519fad6975152cf677915a0396cd921002a55802960a70a22828cf066ff799	artifacts/533887b4ae09635e9c7ddb5db7d7bf29c12f8347/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/kv_score_proj_0.pto.vpto.mlir	artifacts/533887b4ae09635e9c7ddb5db7d7bf29c12f8347/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/kv_score_proj_0	0	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=34875, socket=/tmp/tilelib_daemon_34874.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=34875)	0	1	0	0	0	0	23	4	23	hard_boundary_only
PASS	_jit_attention_csa_test_20260723_032646/ptoas/kv_touch.pto	6	d0c9f8fef3a5c884586c37f5c52a1302d0627f6bcd7cfefa397981cb3febcc97	artifacts/533887b4ae09635e9c7ddb5db7d7bf29c12f8347/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/kv_touch.pto.vpto.mlir	artifacts/533887b4ae09635e9c7ddb5db7d7bf29c12f8347/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/kv_touch	0	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=34974, socket=/tmp/tilelib_daemon_34971.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=34974)	0	0	0	0	0	0	2	2	2	hard_boundary_only
PASS	_jit_attention_csa_test_20260723_032646/ptoas/merge_norm.pto	115	e3775ff6b026268c7edd83dc9b02c1e9ba5bceb1ef1b11e1b3e356e571f33da3	artifacts/533887b4ae09635e9c7ddb5db7d7bf29c12f8347/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/merge_norm.pto.vpto.mlir	artifacts/533887b4ae09635e9c7ddb5db7d7bf29c12f8347/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/merge_norm	0	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=34987, socket=/tmp/tilelib_daemon_34984.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=34987)	27	3	0	0	27	10	14	18	51	fusion_candidate_with_local_boundaries
PASS	_jit_attention_csa_test_20260723_032646/ptoas/mix_x.pto	63	04b0ad82120c982cbfab33173d31c1407e8031767e07adc80b5a0dd8e2ee60fb	artifacts/533887b4ae09635e9c7ddb5db7d7bf29c12f8347/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/mix_x.pto.vpto.mlir	artifacts/533887b4ae09635e9c7ddb5db7d7bf29c12f8347/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/mix_x	0	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=35203, socket=/tmp/tilelib_daemon_35200.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=35203)	8	1	0	0	8	9	11	6	28	fusion_candidate_with_local_boundaries
PASS	_jit_attention_csa_test_20260723_032646/ptoas/proj_a_mm.pto	79	22dfaf085e920071180888d21a507f1567d724368830d812a6da3ddb4cd4e279	artifacts/533887b4ae09635e9c7ddb5db7d7bf29c12f8347/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/proj_a_mm.pto.vpto.mlir	artifacts/533887b4ae09635e9c7ddb5db7d7bf29c12f8347/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/proj_a_mm	0	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=35318, socket=/tmp/tilelib_daemon_35315.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=35318)	0	1	0	0	0	0	33	4	33	hard_boundary_only
PASS	_jit_attention_csa_test_20260723_032646/ptoas/proj_b_act.pto	35	40624f96feef649ab22d79291b5189d095bdfd66540107fe6dd8392da86e0635	artifacts/533887b4ae09635e9c7ddb5db7d7bf29c12f8347/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/proj_b_act.pto.vpto.mlir	artifacts/533887b4ae09635e9c7ddb5db7d7bf29c12f8347/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/proj_b_act	0	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=35516, socket=/tmp/tilelib_daemon_35513.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=35516)	4	1	0	0	4	5	6	7	15	fusion_candidate_with_local_boundaries
PASS	_jit_attention_csa_test_20260723_032646/ptoas/proj_b_mm.pto	55	774bbfc38e0c177005c988fb2260ff2bed3231c722f61cd5af7a30031a691ffc	artifacts/533887b4ae09635e9c7ddb5db7d7bf29c12f8347/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/proj_b_mm.pto.vpto.mlir	artifacts/533887b4ae09635e9c7ddb5db7d7bf29c12f8347/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/proj_b_mm	0	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=35597, socket=/tmp/tilelib_daemon_35592.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=35597)	0	2	0	0	0	0	25	4	25	hard_boundary_only
PASS	_jit_attention_csa_test_20260723_032646/ptoas/q_rope_prepare.pto	56	c7c0283c6b49b9e60a044cf76e98c76e5e59ce1bf1150cd716eb2e7cb83e392f	artifacts/533887b4ae09635e9c7ddb5db7d7bf29c12f8347/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/q_rope_prepare.pto.vpto.mlir	artifacts/533887b4ae09635e9c7ddb5db7d7bf29c12f8347/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/q_rope_prepare	0	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=35693, socket=/tmp/tilelib_daemon_35690.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=35693)	11	2	0	0	11	9	8	13	28	fusion_candidate_with_local_boundaries
PASS	_jit_attention_csa_test_20260723_032646/ptoas/qk_pv.pto	93	90fb126e1a3f52e863dcc24bfe42c6a865142bd7c2385b7dc7bf7bc3692b66fb	artifacts/533887b4ae09635e9c7ddb5db7d7bf29c12f8347/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/qk_pv.pto.vpto.mlir	artifacts/533887b4ae09635e9c7ddb5db7d7bf29c12f8347/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/qk_pv	0	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=35791, socket=/tmp/tilelib_daemon_35788.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=35791)	8	10	0	0	8	1	45	19	63	fusion_candidate_with_local_boundaries
PASS	_jit_attention_csa_test_20260723_032646/ptoas/qproj_dequant_rms_nope_rope.pto	87	150dcc7ab98279c6946eace5a6b222e7605efc13a6d466cac1d5a493b13e3cb9	artifacts/533887b4ae09635e9c7ddb5db7d7bf29c12f8347/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/qproj_dequant_rms_nope_rope.pto.vpto.mlir	artifacts/533887b4ae09635e9c7ddb5db7d7bf29c12f8347/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/qproj_dequant_rms_nope_rope	0	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=35955, socket=/tmp/tilelib_daemon_35952.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=35955)	22	4	0	0	24	8	14	13	46	fusion_candidate_with_local_boundaries
PASS	_jit_attention_csa_test_20260723_032646/ptoas/qproj_matmul.pto	45	dbac01ce7c570a9bf66ee8976170b58c50665394c4936648def602f352aa07ca	artifacts/533887b4ae09635e9c7ddb5db7d7bf29c12f8347/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/qproj_matmul.pto.vpto.mlir	artifacts/533887b4ae09635e9c7ddb5db7d7bf29c12f8347/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/qproj_matmul	0	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=36145, socket=/tmp/tilelib_daemon_36142.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=36145)	0	6	0	0	0	0	24	4	24	hard_boundary_only
PASS	_jit_attention_csa_test_20260723_032646/ptoas/qr_hadamard_matmul.pto	12	ab510cd9de0b3abaad0f6ab85036ca534254f46934aecc3d7c4321cf1bd651b9	artifacts/533887b4ae09635e9c7ddb5db7d7bf29c12f8347/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/qr_hadamard_matmul.pto.vpto.mlir	artifacts/533887b4ae09635e9c7ddb5db7d7bf29c12f8347/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/qr_hadamard_matmul	0	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=36241, socket=/tmp/tilelib_daemon_36238.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=36241)	0	0	0	0	0	0	6	4	6	hard_boundary_only
PASS	_jit_attention_csa_test_20260723_032646/ptoas/qr_hadamard_quant.pto	31	3b1a2c5b806d7b566570c29913f3dd86388b2b820f3150e96a1c2f2c08b10bbe	artifacts/533887b4ae09635e9c7ddb5db7d7bf29c12f8347/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/qr_hadamard_quant.pto.vpto.mlir	artifacts/533887b4ae09635e9c7ddb5db7d7bf29c12f8347/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/qr_hadamard_quant	0	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=36267, socket=/tmp/tilelib_daemon_36264.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=36267)	4	2	0	0	5	7	4	10	16	fusion_candidate_with_local_boundaries
PASS	_jit_attention_csa_test_20260723_032646/ptoas/qr_proj_matmul.pto	44	f0e0b684ff862f7d91f74178fec06ecfc0972b4b71abdb278fec5a03bd2dd2fd	artifacts/533887b4ae09635e9c7ddb5db7d7bf29c12f8347/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/qr_proj_matmul.pto.vpto.mlir	artifacts/533887b4ae09635e9c7ddb5db7d7bf29c12f8347/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/qr_proj_matmul	0	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=36318, socket=/tmp/tilelib_daemon_36315.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=36318)	0	2	0	0	0	0	23	4	23	hard_boundary_only
PASS	_jit_attention_csa_test_20260723_032646/ptoas/qr_proj_seed.pto	5	179ceb369fa2a3bbf1e0aa67f77fd6dc0b609e16deb0e8512241f0b0defe29e9	artifacts/533887b4ae09635e9c7ddb5db7d7bf29c12f8347/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/qr_proj_seed.pto.vpto.mlir	artifacts/533887b4ae09635e9c7ddb5db7d7bf29c12f8347/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/qr_proj_seed	0	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=36398, socket=/tmp/tilelib_daemon_36395.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=36398)	0	2	0	0	0	1	1	2	2	hard_boundary_only
PASS	_jit_attention_csa_test_20260723_032646/ptoas/qr_rms_norm_quant.pto	104	03d782dee6b3c02b07afc239304ea24975cf43467af534072be03119ab370e16	artifacts/533887b4ae09635e9c7ddb5db7d7bf29c12f8347/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/qr_rms_norm_quant.pto.vpto.mlir	artifacts/533887b4ae09635e9c7ddb5db7d7bf29c12f8347/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/qr_rms_norm_quant	0	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=36409, socket=/tmp/tilelib_daemon_36406.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=36409)	19	2	0	0	21	20	13	17	54	fusion_candidate_with_local_boundaries
PASS	_jit_attention_csa_test_20260723_032646/ptoas/qr_rope.pto	72	24e6211e8a521e4c9f148d4e564477c10d98e13745cd2ab843ad1489f4f989cb	artifacts/533887b4ae09635e9c7ddb5db7d7bf29c12f8347/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/qr_rope.pto.vpto.mlir	artifacts/533887b4ae09635e9c7ddb5db7d7bf29c12f8347/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/qr_rope	0	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=36583, socket=/tmp/tilelib_daemon_36580.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=36583)	19	3	0	0	19	9	10	14	38	fusion_candidate_with_local_boundaries
PASS	_jit_attention_csa_test_20260723_032646/ptoas/quant.pto	34	f52ff334321a2a993ccb24e595d2ee494ddca001241b57c68a22915716818b56	artifacts/533887b4ae09635e9c7ddb5db7d7bf29c12f8347/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/quant.pto.vpto.mlir	artifacts/533887b4ae09635e9c7ddb5db7d7bf29c12f8347/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/quant	0	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=36720, socket=/tmp/tilelib_daemon_36717.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=36720)	3	0	0	0	4	9	5	10	18	fusion_candidate_with_local_boundaries
PASS	_jit_attention_csa_test_20260723_032646/ptoas/rms_norm.pto	59	7269ac8b43b6087cfcf650c2fea14f35ac0865e2bee2ecab05c21d6245259382	artifacts/533887b4ae09635e9c7ddb5db7d7bf29c12f8347/final-vpto/_jit_attention_csa_test_20260723_032646/ptoas/rms_norm.pto.vpto.mlir	artifacts/533887b4ae09635e9c7ddb5db7d7bf29c12f8347/all-phase-ir/_jit_attention_csa_test_20260723_032646/ptoas/rms_norm	0	TileLib daemon 'ptodsl.tilelib.serving.daemon' started (pid=36786, socket=/tmp/tilelib_daemon_36782.sock) Info: ptodsl TileLib daemon started successfully TileLib daemon stopped (pid=36786)	12	2	0	0	13	9	8	12	30	fusion_candidate_with_local_boundaries
